pincode,state,lat,lon,predicted_load_score,anomaly_risk,urgency_weight,priority_score,recommended_action
782124,Assam,26.223,92.8425,0.3185081751158357,0.825045419776561,1.0,0.6507965615514764,Deploy mobile Aadhaar van
491111,Chhattisgarh,21.07161875,81.492775,0.3663920630720738,0.825045419776561,1.0,0.6489210464336641,Deploy mobile Aadhaar van
110042,Delhi,28.7581,77.1309,0.2982466435807115,0.825045419776561,1.0,0.6434904720767273,Deploy mobile Aadhaar van
110084,Delhi,28.72104,77.2105,0.3152284993212665,0.825045419776561,1.0,0.6337040523302794,Deploy mobile Aadhaar van
370110,Gujarat,23.14513125,70.0224625,0.3053489684193242,0.825045419776561,1.0,0.5909579041025206,Deploy mobile Aadhaar van
493118,Chhattisgarh,21.294694736842104,81.82373157894737,0.2599024200102511,0.7166221675890667,1.0,0.5906098350397271,Deploy mobile Aadhaar van
125121,Haryana,29.355986956521743,75.8624695652174,0.3091314713864772,0.825045419776561,1.0,0.5536707564652154,Deploy mobile Aadhaar van
125110,Haryana,29.36078,75.12048,0.2999147359666194,0.825045419776561,1.0,0.5499840622972721,Deploy mobile Aadhaar van
246171,Uttarakhand,30.51802,79.05512999999999,0.298323772759941,0.825045419776561,1.0,0.5493476770146009,Deploy mobile Aadhaar van
361006,Gujarat,22.46099,69.9869,0.2980320178059393,0.825045419776561,1.0,0.5492309750330001,Deploy mobile Aadhaar van
814133,Jharkhand,24.82818888888889,87.23841111111112,0.2979497859077266,0.825045419776561,1.0,0.549198082273715,Deploy mobile Aadhaar van
845451,Bihar,27.01654545454545,84.51245454545455,0.2919982092874609,0.825045419776561,1.0,0.5468174516256088,Deploy mobile Aadhaar van
415711,Maharashtra,17.615763636363635,73.46584545454546,0.286944118276607,0.825045419776561,1.0,0.5447958152212672,Deploy mobile Aadhaar van
632301,Tamil Nadu,12.6349,79.3112,0.2863856555557545,0.825045419776561,1.0,0.5445724301329262,Deploy mobile Aadhaar van
764047,Odisha,18.1743,81.5399,0.2857527719425085,0.825045419776561,1.0,0.5443192766876278,Deploy mobile Aadhaar van
440014,Maharashtra,21.1793,79.0923,0.2838302506043425,0.825045419776561,1.0,0.5435502681523614,Deploy mobile Aadhaar van
852129,Bihar,25.74888333333333,86.59784166666667,0.2814215471861417,0.825045419776561,1.0,0.5425867867850811,Deploy mobile Aadhaar van
638311,Tamil Nadu,11.621,77.7432,0.2813629775602051,0.825045419776561,1.0,0.5425633589347065,Deploy mobile Aadhaar van
496115,Chhattisgarh,22.0859,83.30820000000001,0.2797030276002561,0.825045419776561,1.0,0.5418993789507269,Deploy mobile Aadhaar van
799251,Tripura,24.1041,92.2079,0.2777829960305115,0.825045419776561,1.0,0.541131366322829,Deploy mobile Aadhaar van
445106,Maharashtra,19.96195,78.04586666666667,0.276438176688521,0.8243668521994909,1.0,0.5403220115552048,Deploy mobile Aadhaar van
143601,Punjab,31.76766875,74.98773125,0.2713904699745694,0.8132715846505674,1.0,0.5338648218500547,Deploy mobile Aadhaar van
